"Time","FLOWTOSA"
"and",400.00
"Date","Discharge (ML/Day)"
"","Mean"
09:00:00 15/12/2008,        4419
09:00:00 16/12/2008,        4488
09:00:00 17/12/2008,        4479
09:00:00 18/12/2008,        4328
09:00:00 19/12/2008,        4092
09:00:00 20/12/2008,        4098
09:00:00 21/12/2008,        4289
09:00:00 22/12/2008,        4400
09:00:00 23/12/2008,        4399
09:00:00 24/12/2008,        4581
09:00:00 25/12/2008,        4704
09:00:00 26/12/2008,        4639
09:00:00 27/12/2008,        4377
09:00:00 28/12/2008,        4139
09:00:00 29/12/2008,        4053
09:00:00 30/12/2008,        4012
09:00:00 31/12/2008,        4075
09:00:00 01/01/2009,        4220
09:00:00 02/01/2009,        4221
09:00:00 03/01/2009,        4248
09:00:00 04/01/2009,        4260
09:00:00 05/01/2009,        4300
09:00:00 06/01/2009,        4323
09:00:00 07/01/2009,        4411
09:00:00 08/01/2009,        4603
09:00:00 09/01/2009,        4657
09:00:00 10/01/2009,        4389
09:00:00 11/01/2009,        4114
09:00:00 12/01/2009,        4034
09:00:00 13/01/2009,        4053
09:00:00 14/01/2009,        4302
09:00:00 15/01/2009,        4652
09:00:00 16/01/2009,        4622
09:00:00 17/01/2009,        4647
09:00:00 18/01/2009,        4738
09:00:00 19/01/2009,        4565
09:00:00 20/01/2009,        4591
09:00:00 21/01/2009,        4690
09:00:00 22/01/2009,        4772
09:00:00 23/01/2009,        4850
09:00:00 24/01/2009,        4850
09:00:00 25/01/2009,        4831
09:00:00 26/01/2009,        4814
09:00:00 27/01/2009,        4825
09:00:00 28/01/2009,        4816
09:00:00 29/01/2009,        4788
09:00:00 30/01/2009,        4737
09:00:00 31/01/2009,        4952
09:00:00 01/02/2009,        5163
09:00:00 02/02/2009,        5024
09:00:00 03/02/2009,        4940
09:00:00 04/02/2009,        5181
09:00:00 05/02/2009,        5451
09:00:00 06/02/2009,        5470
09:00:00 07/02/2009,        5359
09:00:00 08/02/2009,        5411
09:00:00 09/02/2009,        5427
